CASE_SUBMITTED_DAY,CASE_SUBMITTED_MONTH,CASE_SUBMITTED_YEAR,DECISION_DAY,DECISION_MONTH,DECISION_YEAR,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_STATE,EMPLOYER_COUNTRY,SOC_NAME,NAICS_CODE,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_SOURCE,PW_SOURCE_YEAR,PW_SOURCE_OTHER,WAGE_RATE_OF_PAY_FROM,WAGE_RATE_OF_PAY_TO,WAGE_UNIT_OF_PAY,H-1B_DEPENDENT,WILLFUL_VIOLATOR,WORKSITE_STATE,WORKSITE_POSTAL_CODE,CASE_STATUS
18,10,2013,3,10,2016,H1B,BATTELLE,WA,UNITED STATES OF AMERICA,ACCOUNTANTS,541700,1,N,19.16,Hour,Other,2013,OFLC ONLINE DATA CENTER,28.85,0,Hour,N,N,WA,99354,CERTIFIEDWITHDRAWN
21,10,2013,3,10,2016,H1B,OREGON HEALTH and SCIENCE UNIVERSITY,OR,UNITED STATES OF AMERICA,ACCOUNTANTS,611310,1,Y,40706,Year,OES,2013,OFLC ONLINE DATA CENTER,40706,0,Year,N,N,OR,97239,CERTIFIEDWITHDRAWN
24,10,2013,3,10,2016,H1B,GIMMAL LLC,TX,UNITED STATES OF AMERICA,ACCOUNTANTS,5416,1,Y,77875,Year,Other,2013,OFLC ONLINE DATA CENTER,78000,0,Year,N,N,TX,77046,CERTIFIEDWITHDRAWN
4,12,2013,3,10,2016,H1B,HARMONY SCIENCE ACADEMY EULESS,TX,UNITED STATES OF AMERICA,ACCOUNTANTS,611110,1,Y,45540,Year,OES,2013,OFLC ONLINE DATA CENTER,45540,0,Year,N,N,TX,76040,CERTIFIEDWITHDRAWN
23,12,2013,3,10,2016,H1B,PLANTRONICS INC,CA,UNITED STATES OF AMERICA,ACCOUNTANTS,334220,1,Y,66331,Year,OES,2013,OFLC ONLINE DATA CENTER,66331,95000,Year,N,N,TX,78704,CERTIFIEDWITHDRAWN
24,2,2014,3,10,2016,H1B,UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,UNITED STATES OF AMERICA,ACCOUNTANTS,611310,1,Y,47244,Year,CBA,2014,NONE,47244,0,Year,N,N,CA,90095,CERTIFIEDWITHDRAWN
27,2,2014,3,10,2016,H1B,WASHINGTON STATE UNIVERSITY,WA,UNITED STATES OF AMERICA,ACCOUNTANTS,611310,1,Y,35734,Year,OES,2013,OFLC ONLINE DATA CENTER,41600,0,Year,N,N,WA,99164,CERTIFIEDWITHDRAWN
4,3,2014,3,10,2016,H1B,J B HUNT TRANSPORT SERVICES INC,AR,UNITED STATES OF AMERICA,ACCOUNTANTS,484120,1,Y,45302,Year,OES,2013,OFLC ONLINE DATA CENTER,45302,0,Year,N,N,AR,72745,CERTIFIEDWITHDRAWN
11,3,2014,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ACCOUNTANTS,541511,1,Y,57866,Year,Other,2013,OFLC ONLINE DATA CENTER,62866,0,Year,N,N,NC,28205,CERTIFIEDWITHDRAWN
11,3,2014,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ACCOUNTANTS,541511,1,Y,57866,Year,Other,2013,OFLC ONLINE DATA CENTER,62866,0,Year,N,N,NC,28205,CERTIFIEDWITHDRAWN
12,3,2014,3,10,2016,H1B,SEQUENOM CENTER FOR MOLECULAR MEDICINE LLC,MI,UNITED STATES OF AMERICA,ACCOUNTANTS,621511,1,Y,60819,Year,OES,2013,OFLC ONLINE DATA CENTER,98914,0,Year,N,N,CA,92121,CERTIFIEDWITHDRAWN
20,3,2014,3,10,2016,H1B,CAREMARK LLC,TX,UNITED STATES OF AMERICA,ACCOUNTANTS,424210,1,Y,50128,Year,OES,2013,OFLC ONLINE DATA CENTER,57200,85800,Year,N,N,IL,60089,CERTIFIEDWITHDRAWN
25,3,2014,3,10,2016,H1B,HEARST COMMUNICATIONS INC,NY,UNITED STATES OF AMERICA,ACCOUNTANTS,511120,1,Y,97900,Year,Other,2013,WILLIS TOWERS WATSON SURVEY,120000,0,Year,N,N,NY,10019,CERTIFIEDWITHDRAWN
25,3,2014,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ACCOUNTANTS,541511,1,Y,57866,Year,Other,2013,OFLC ONLINE DATA CENTER,62866,0,Year,N,N,NC,28205,CERTIFIEDWITHDRAWN
24,4,2014,3,10,2016,H1B,LIBSYS INC,IL,UNITED STATES OF AMERICA,ACCOUNTANTS,541519,1,Y,87547,Year,Other,2013,OFLC ONLINE DATA CENTER,87600,0,Year,Y,N,WA,98101,CERTIFIEDWITHDRAWN
12,6,2014,3,10,2016,H1B,TARLETON STATE UNIVERSITY,TX,UNITED STATES OF AMERICA,ACCOUNTANTS,611310,1,Y,50523,Year,OES,2013,OFLC ONLINE DATA CENTER,51533,0,Year,N,N,TX,76401,CERTIFIEDWITHDRAWN
17,6,2014,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ACCOUNTANTS,334410,1,Y,94640,Year,OES,2013,OFLC ONLINE DATA CENTER,94640,125000,Year,N,N,TX,78730,CERTIFIEDWITHDRAWN
20,6,2014,3,10,2016,H1B,THE UNIVERSITY OF GEORGIA,GA,UNITED STATES OF AMERICA,ACCOUNTANTS,611310,1,Y,46862,Year,Other,2014,OFLC ONLINE DATA CENTER,62500,0,Year,N,N,GA,30602,CERTIFIEDWITHDRAWN
3,7,2014,3,10,2016,H1B,DOVE SCIENCE ACADEMY TULSA,OK,UNITED STATES OF AMERICA,ACCOUNTANTS,611110,1,Y,32550,Year,OES,2014,OFLC ONLINE DATA CENTER,32550,0,Year,N,N,OK,74112,CERTIFIEDWITHDRAWN
3,7,2014,3,10,2016,H1B,HARMONY SCHOOL OF FINE ARTS and TECHNOLOGY,TX,UNITED STATES OF AMERICA,ACCOUNTANTS,611110,1,Y,42330,Year,OES,2014,OFLC ONLINE DATA CENTER,42330,0,Year,N,N,TX,77054,CERTIFIEDWITHDRAWN
3,7,2014,3,10,2016,H1B,LITTLE SCHOLARS OF ARKANSAS,AR,UNITED STATES OF AMERICA,ACCOUNTANTS,611110,1,Y,38400,Year,OES,2014,OFLC ONLINE DATA CENTER,38400,0,Year,N,N,AR,72117,CERTIFIEDWITHDRAWN
23,7,2014,3,10,2016,H1B,HARMONY SCHOOL OF INNOVATION DALLAS,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,43470,Year,OES,2014,OFLC ONLINE DATA CENTER,43470,0,Year,N,N,TX,75007,CERTIFIEDWITHDRAWN
23,7,2014,3,10,2016,H1B,HARMONY SCHOOL OF INNOVATION GARLAND,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,43470,Year,OES,2014,OFLC ONLINE DATA CENTER,43470,0,Year,N,N,TX,75040,CERTIFIEDWITHDRAWN
23,7,2014,3,10,2016,H1B,HARMONY SCHOOL OF INNOVATION HOUSTON,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,42330,Year,OES,2014,OFLC ONLINE DATA CENTER,42330,0,Year,N,N,TX,77099,CERTIFIEDWITHDRAWN
23,7,2014,3,10,2016,H1B,HARMONY SCIENCE ACADEMY SAN ANTONIO,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,2,Y,44510,Year,OES,2014,OFLC ONLINE DATA CENTER,44510,0,Year,N,N,TX,78245,CERTIFIEDWITHDRAWN
5,8,2014,3,10,2016,H1B,HARMONY SCHOOL OF INNOVATION EL PASO,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,42340,Year,OES,2014,OFLC ONLINE DATA CENTER,42340,0,Year,N,N,TX,79924,CERTIFIEDWITHDRAWN
5,8,2014,3,10,2016,H1B,HARMONY SCHOOL OF POLITICAL SCIENCE AND COMMUNICATION,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,46571,Year,OES,2014,OFLC ONLINE DATA CENTER,46571,0,Year,N,N,TX,78717,CERTIFIEDWITHDRAWN
5,8,2014,3,10,2016,H1B,HARMONY SCIENCE ACADEMY DALLAS,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,43470,Year,OES,2014,OFLC ONLINE DATA CENTER,43470,0,Year,N,N,TX,75243,CERTIFIEDWITHDRAWN
12,8,2014,3,10,2016,H1B,HARMONY SCHOOL OF BUSINESS,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,43470,Year,OES,2014,OFLC ONLINE DATA CENTER,43470,0,Year,N,N,TX,75252,CERTIFIEDWITHDRAWN
12,8,2014,3,10,2016,H1B,HARMONY SCHOOL OF NATURE and ATHLETICS,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,43470,Year,OES,2014,OFLC ONLINE DATA CENTER,45540,0,Year,N,N,TX,75249,CERTIFIEDWITHDRAWN
12,8,2014,3,10,2016,H1B,HARMONY SCIENCE ACADEMY BROWNSVILLE,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,41940,Year,OES,2014,OFLC ONLINE DATA CENTER,45600,0,Year,N,N,TX,78520,CERTIFIEDWITHDRAWN
12,8,2014,3,10,2016,H1B,HARMONY SCIENCE ACADEMY DALLAS,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,43470,Year,OES,2014,OFLC ONLINE DATA CENTER,45540,0,Year,N,N,TX,75243,CERTIFIEDWITHDRAWN
13,8,2014,3,10,2016,H1B,OOYALA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,511210,1,Y,99337,Year,Other,2014,RADFORD GLOBAL SURVEY,115000,0,Year,N,N,CA,94040,CERTIFIEDWITHDRAWN
25,8,2014,3,10,2016,H1B,HARMONY SCHOOL OF EXCELLENCE AUSTIN,TX,UNITED STATES OF AMERICA,ANALYSTS,611110,1,Y,41460,Year,OES,2014,OFLC ONLINE DATA CENTER,41460,0,Year,N,N,TX,78744,CERTIFIEDWITHDRAWN
25,8,2014,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,62866,0,Year,N,N,NC,28205,CERTIFIEDWITHDRAWN
24,9,2014,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,80962,Year,Other,2014,RADFORD GLOBAL SURVEY,87300,0,Year,N,N,CA,95134,CERTIFIEDWITHDRAWN
13,11,2014,3,10,2016,H1B,CAREMARK LLC,RI,UNITED STATES OF AMERICA,ANALYSTS,424210,1,Y,97115,Year,OES,2014,OFLC ONLINE DATA CENTER,97115,107250,Year,N,N,AZ,85260,CERTIFIEDWITHDRAWN
25,11,2014,3,10,2016,H1B,HARVARD UNIVERSITY,MA,UNITED STATES OF AMERICA,ANALYSTS,611310,1,Y,42702,Year,OES,2014,OFLC ONLINE DATA CENTER,49884,0,Year,N,N,MA,2138,CERTIFIEDWITHDRAWN
23,12,2014,3,10,2016,H1B,CLOUDCAR INC,CA,UNITED STATES OF AMERICA,ANALYSTS,541512,1,Y,109762,Year,OES,2014,OFLC ONLINE DATA CENTER,125000,0,Year,N,N,CA,94040,CERTIFIEDWITHDRAWN
6,1,2015,3,10,2016,H1B,UNIVERSITY OF WISCONSIN MADISON,WI,UNITED STATES OF AMERICA,ANALYSTS,611310,1,Y,49816,Year,OES,2014,OFLC ONLINE DATA CENTER,57800,0,Year,N,N,WI,53715,CERTIFIEDWITHDRAWN
7,1,2015,3,10,2016,H1B,V SOFT CONSULTING GROUP INC,KY,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,46758,Year,Other,2014,OFLC ONLINE DATA CENTER,47000,0,Year,Y,N,PA,17011,CERTIFIEDWITHDRAWN
9,1,2015,3,10,2016,H1B,NYSE MARKET DE INC,GA,UNITED STATES OF AMERICA,ANALYSTS,523110,1,Y,96866,Year,OES,2014,OFLC ONLINE DATA CENTER,97000,105000,Year,N,N,NY,10005,CERTIFIEDWITHDRAWN
13,1,2015,3,10,2016,H1B,NOMURA SECURITIES INTERNATIONAL INC,NY,UNITED STATES OF AMERICA,ANALYSTS,523110,1,Y,125133,Year,OES,2014,OFLC ONLINE DATA CENTER,130000,150000,Year,N,N,NY,10019,CERTIFIEDWITHDRAWN
29,1,2015,3,10,2016,H1B,ROCKWELL COLLINS INC,IA,UNITED STATES OF AMERICA,ANALYSTS,336400,1,Y,88837,Year,OES,2014,OFLC ONLINE DATA CENTER,100307,0,Year,N,N,FL,32901,CERTIFIEDWITHDRAWN
4,2,2015,3,10,2016,H1B,PLOW and HEARTH LLC,VA,UNITED STATES OF AMERICA,ANALYSTS,423220,1,Y,34154,Year,OES,2014,OFLC ONLINE DATA CENTER,52500,0,Year,N,N,VA,22727,CERTIFIEDWITHDRAWN
11,2,2015,3,10,2016,H1B,ERICSSON INC,TX,UNITED STATES OF AMERICA,ANALYSTS,334220,1,Y,62769,Year,Other,2014,DIETRICH ENGINEERING SALARY SURVEY,65791,98687,Year,N,N,KS,66251,CERTIFIEDWITHDRAWN
18,2,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,80153,Year,Other,2015,RADFORD GLOBAL SURVEY,81000,97000,Year,N,N,CA,95134,CERTIFIEDWITHDRAWN
18,2,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,88254,Year,OES,2014,OFLC ONLINE DATA CENTER,88254,105905,Year,N,N,CA,95134,CERTIFIEDWITHDRAWN
18,2,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,102606,Year,OES,2014,OFLC ONLINE DATA CENTER,102606,123127,Year,N,N,CA,95134,CERTIFIEDWITHDRAWN
19,2,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,116667,Year,OES,2014,OFLC ONLINE DATA CENTER,117000,139000,Year,N,N,TX,78730,CERTIFIEDWITHDRAWN
19,2,2015,3,10,2016,H1B,OOYALA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,511210,1,Y,109762,Year,OES,2014,OFLC ONLINE DATA CENTER,115000,115000,Year,N,N,CA,95054,CERTIFIEDWITHDRAWN
20,2,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,111439,Year,Other,2015,RADFORD GLOBAL SURVEY,114000,137000,Year,N,N,CA,95134,CERTIFIEDWITHDRAWN
23,2,2015,3,10,2016,H1B,HARVARD UNIVERSITY,MA,UNITED STATES OF AMERICA,ANALYSTS,611310,1,Y,42702,Year,OES,2014,OFLC ONLINE DATA CENTER,48192,0,Year,N,N,MA,2138,CERTIFIEDWITHDRAWN
23,2,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,86507,Year,OES,2014,OFLC ONLINE DATA CENTER,87000,104000,Year,N,N,TX,78730,CERTIFIEDWITHDRAWN
24,2,2015,3,10,2016,H1B,V SOFT CONSULTING GROUP INC,KY,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,46758,Year,Other,2014,OFLC ONLINE DATA CENTER,47000,0,Year,Y,N,PA,17011,CERTIFIEDWITHDRAWN
2,3,2015,3,10,2016,H1B,AARCG INC,FL,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,96866,Year,OES,2014,OFLC ONLINE DATA CENTER,96866,0,Year,N,N,NJ,7030,CERTIFIEDWITHDRAWN
10,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
10,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,62866,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
10,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
10,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
10,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
16,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
16,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
18,3,2015,3,10,2016,H1B,TECHTOMIX LLC,NC,UNITED STATES OF AMERICA,ANALYSTS,541511,1,Y,60507,Year,Other,2014,OFLC ONLINE DATA CENTER,63000,0,Year,N,N,NC,28025,CERTIFIEDWITHDRAWN
19,3,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,84594,Year,OES,2014,OFLC ONLINE DATA CENTER,85000,102000,Year,N,N,CA,95134,CERTIFIEDWITHDRAWN
23,3,2015,3,10,2016,H1B,WOLFSDORF ROSENTHAL LLP,CA,UNITED STATES OF AMERICA,ANALYSTS,541110,1,Y,39894,Year,OES,2014,OFLC ONLINE DATA CENTER,39894,52229,Year,N,N,CA,90401,CERTIFIEDWITHDRAWN
24,3,2015,3,10,2016,H1B,UNIVERSITY OF MARYLAND BALTIMORE,MD,UNITED STATES OF AMERICA,ANALYSTS,611310,1,Y,34778,Year,OES,2014,NONE,51576,0,Year,N,N,MD,21201,CERTIFIEDWITHDRAWN
25,3,2015,3,10,2016,H1B,MEDIATEK USA INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334410,1,Y,119746,Year,OES,2014,OFLC ONLINE DATA CENTER,120000,143000,Year,N,N,TX,78730,CERTIFIEDWITHDRAWN
6,4,2015,3,10,2016,H1B,FLUID INC,CA,UNITED STATES OF AMERICA,ANALYSTS,541810,1,Y,96866,Year,OES,2014,OFLC ONLINE DATA CENTER,100000,137000,Year,N,N,NY,10012,CERTIFIEDWITHDRAWN
17,4,2015,3,10,2016,H1B,TEXAS AandM ENGINEERING EXPERIMENT STATION,TX,UNITED STATES OF AMERICA,ANALYSTS,54171,1,Y,36608,Year,OES,2014,OFLC ONLINE DATA CENTER,55404.36,0,Year,N,N,TX,77845,CERTIFIEDWITHDRAWN
20,4,2015,3,10,2016,H1B,AVIDXCHANGE INC,NC,UNITED STATES OF AMERICA,ANALYSTS,54121,1,Y,77563,Year,OES,2014,OFLC ONLINE DATA CENTER,90000,0,Year,N,N,CA,95050,CERTIFIEDWITHDRAWN
24,4,2015,3,10,2016,H1B,UNIVERSITY OF DELAWARE,DE,UNITED STATES OF AMERICA,ANALYSTS,611310,1,Y,58130,Year,OES,2014,NONE,58146,0,Year,N,N,DE,19716,CERTIFIEDWITHDRAWN
22,5,2015,3,10,2016,E3 Australian,SKADDEN ARPS SLATE MEAGHER and FLOM LLP,NY,UNITED STATES OF AMERICA,ANALYSTS,541110,1,Y,124072,Year,OES,2015,OFLC ONLINE DATA CENTER,170000,0,Year,,,NY,10036,CERTIFIEDWITHDRAWN
10,6,2015,3,10,2016,H1B,BANNER MEDICAL GROUP,AZ,UNITED STATES OF AMERICA,ANALYSTS,622110,1,Y,100235,Year,OES,2014,OFLC ONLINE DATA CENTER,200000,300000,Year,N,N,AZ,85206,CERTIFIEDWITHDRAWN
14,7,2015,3,10,2016,H1B,SCIENTIFIC TECHNOLOGIES CORPORATION,AZ,UNITED STATES OF AMERICA,ANALYSTS,541690,1,Y,74984,Year,OES,2015,OFLC ONLINE DATA CENTER,80000,0,Year,N,N,AZ,85258,CERTIFIEDWITHDRAWN
23,7,2015,3,10,2016,H1B,ADVANCED MICRO DEVICES INC,CA,UNITED STATES OF AMERICA,ANALYSTS,334413,1,Y,110597,Year,Other,2015,RADFORD GLOBAL SURVEY,118000,191800,Year,N,N,CA,94088,CERTIFIEDWITHDRAWN
28,7,2015,3,10,2016,H1B,UNIVERSITY OF CONNECTICUT,CT,UNITED STATES OF AMERICA,ANALYSTS,611310,1,Y,41912,Year,OES,2015,OFLC ONLINE DATA CENTER,44100,0,Year,N,N,CT,6269,CERTIFIEDWITHDRAWN
